Black #000000
Blue #0000FF
Brown #A52A2A
HighlighterGreen #7FFF00
Red #DC143C
Cyan #00FFFF
DarkBlue #00008B
DarkCyan #008B8B
DarkGray #A9A9A9
DarkGreen #006400
Fuchsia #FF00FF
Gold #FFD700
Gray #808080
Green #008000
Lavender #E6E6FA
Magenta #FF00FF
Maroon #800000
Navy #000080
Olive #808000
Orange #FFA500
Pink #FFC0CB
Purple #800080
Red #FF0000
RoyalBlue #4169E1
Teal #008080
Turquoise #40E0D0
Violet #EE82EE
Yellow #FFFF00
